"Type","Comet","Obs date","Extinction","Meth","Comet vis","Mag","Conditions","Ref cat","Inst T","App","Inst F","Inst P","Coma vis","Coma","Coma notes","DC","Tail vis","Tail","Tail unit","PA","User","Association","Country","Location","Comment","Sky quality","Sky quality method","Reference stars"
"CCD","C/2023 A3","2024-04-06 23:36","","C","","10.8","","AV","R","7.5","4","1830","","2.20'","","","","","","","PAR03","Polish Comet Observers","Poland","","Green channel","","",""
"CCD","C/2023 A3","2024-01-29 18:57","","C","","13.8","","AQ","T","35.0","5","180","","0.70'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-01-28 18:57","","C","","13.6","","AQ","T","35.0","5","180","","0.80'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-07-14 18:43","","C","","10.1","","AQ","R","10.6","5","120","","2.50'","","","","26.50'","'","99°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-06-05 14:15","","C","","10.2","","BG","L","20.3","4","118","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-03-19 15:21","","C","","12.2","","AQ","T","35.0","5","180","","1.20'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-02-29 02:24","","C","","12.2","","AR","L","30.0","4","1890","","1.80'","","","","1.40'","'","314°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-07-13 17:21","","C","","10.0","","U4","R","10.6","5","60","","2.00'","","","","18.00'","'","","PAP04","British Astronomical Association","Italy","Namibia (remote control)","","","",""
"CCD","C/2023 A3","2024-07-12 17:16","","C","","10.5","","AQ","R","10.6","5","120","","2.20'","","","","15.50'","'","101°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-07-21 17:16","","C","","10.3","","AQ","R","10.6","5","120","","3.00'","","","","20.00'","'","100°","PEA","International Comet Quarterly","Australia","","","","",""
"VIS","C/2023 A3","2024-04-20 21:50","","C","","11.6","","GG","L","41.0","4","360","","0.77'","","6.0","","1.90'","'","89°","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2024-02-13 04:19","","C","","13.1","","AR","L","30.0","4","1800","","1.50'","","","","1.30'","'","307°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-07-04 10:48","","C","","11.4","","AQ","T","35.0","5","60","","1.10'","","","","5.00'","'","102°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-05-28 19:59","","C","","11.0","","TK","A","30.0","5","30","","2.00'","","","","5.00'","'","","PAP04","British Astronomical Association","Italy","Pedara,Sicily,Italy","","","",""
"CCD","C/2023 A3","2024-05-03 11:02","","C","","10.7","","TJ","R","7.6","6","75","","1.70'","","","","2.10'","'","102°","YAM03","","Japan","","","","",""
"CCD","C/2023 A3","2024-05-08 22:02","","C","","10.7","","GG","L","30.0","5","600","","1.40'","","","","9.00'","'","98°","PHI02","British Astronomical Association","United Kingdom","Forthimage Observatory, Edinburgh UK","","","",""
"CCD","C/2023 A3","2024-04-24 21:07","","C","","10.6","","AR","L","30.0","4","300","","3.70'","","","","4.40'","'","88°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-08 21:07","","C","","11.5","","GG","L","41.0","4","60","","0.88'","","6.0","","5.20'","'","100°","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2024-02-24 22:45","","C","","12.3","","BG","L","20.3","4","300","","0.80'","","5.5","","1.20'","'","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O46)","Obs: C. Guo, Y. Lu, J. Xiong; Mea: J. Xiong, Zero Pt.28.20mag, mlim=17.5 (SNR=5)","","",""
"CCD","C/2023 A3","2024-03-24 14:52","","C","","12.0","","AQ","T","35.0","5","180","","1.30'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-07 00:00","","C","","10.8","","AR","R","7.5","4","1830","","2.20'","","","","","","","PAR03","Polish Comet Observers","Poland","","","","",""
"CCD","C/2023 A3","2024-02-09 18:28","","C","","13.5","","HV","L","15.0","3","40","","0.70'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-05-14 21:36","","C","","10.0","","TJ","R","6.8","5","60","","2.20'","","","","0.06°","°","100°","PAR03","Polish Comet Observers","Poland","","Temperature: +9 C; Baader Neodymium filter used to reduce moonlight.","","","TYC 0290-00467-1, B-V=0.56"
"VIS","C/2023 A3","2024-04-26 22:19","","C","","11.1","","GG","L","41.0","4","180","","0.67'","","7.5","","3.80'","'","94°","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2024-02-16 17:45","","C","","13.4","","AQ","T","35.0","5","180","","0.90'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-12-07 20:52","","C","","14.7","","AV","Y","20.3","5","1500","","0.40'","","","","","","","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-03 14:09","","C","","11.5","","AQ","T","35.0","5","120","","1.60'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-03 22:48","","C","","10.9","","AR","L","30.0","4","1200","","3.70'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-02-25 07:40","","C","","18.3","","AV","C","51.0","7","720","","","","9.0","","","","","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-27 12:28","","C","","11.0","","AQ","T","35.0","5","60","","1.80'","","","","2.10'","'","96°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-12-19 21:50","","C","","14.1","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O46)","Obs: C. Guo, Y. Lu, J. Xiong; Mea: J. Xiong","21.8","",""
"CCD","C/2023 A3","2024-03-31 04:00","","C","","11.7","","AL","Y","15.3","9","1800","","","","","","","°","283°","PURab","International Comet Quarterly","India","Ahmedabad","","","",""
"CCD","C/2023 A3","2024-04-21 20:38","","C","","10.6","","AR","L","30.0","4","1200","","2.60'","","","","4.00'","'","90°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-03-31 14:24","","C","","11.5","","AQ","T","35.0","5","180","","1.30'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-05-29 23:00","","C","","11.8","","AL","Y","153.0","9","","","","","","","","","276°","PURab","International Comet Quarterly","India","Ahmedabad","","","",""
"CCD","C/2023 A3","2024-04-05 13:55","","C","","11.2","","AQ","T","35.0","5","120","","1.50'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-01 14:09","","C","","11.4","","TJ","R","7.6","6","75","","1.40'","","","","","","","YAM03","","Japan","","","","",""
"CCD","C/2023 A3","2024-06-10 19:50","","C","","10.7","","TK","A","30.0","5","30","","2.00'","","","","8.00'","'","","PAP04","British Astronomical Association","Italy","Pedara,Sicily,Italy","","","",""
"CCD","C/2023 A3","2024-04-08 14:23","","C","","11.1","","AQ","T","35.0","5","120","","1.60'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-25 12:00","","C","","10.5","","TJ","H","13.0","3","37","","1.50'","","","","","","","YAM03","","Japan","","","","",""
"CCD","C/2023 A3","2024-04-09 13:26","","C","","11.1","","AQ","T","35.0","5","120","","1.60'","","","","1.40'","'","66°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-28 12:00","","C","","11.1","","AQ","T","35.0","5","60","","1.60'","","","","3.20'","'","92°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-01-05 22:30","","C","","13.8","","BG","L","20.3","4","900","","0.40'","","8.5","","1.20'","'","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O46)","Obs: C. Guo, Y. Lu, J. Xiong; Mea: J. Xiong, Zero Pt.25.89mag, mlim=17.5 (SNR=5)","","",""
"CCD","C/2023 A3","2024-01-14 04:51","","C","","13.8","","U4","A","30.0","5","60","","","","","","","","","PAP04","British Astronomical Association","Italy","Pedara,Sicily,Italy","","","",""
"CCD","C/2023 A3","2023-12-31 20:50","","C","","13.9","","BG","L","20.3","4","120","","0.20'","","7.5","","18.00""","""","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O46)","Obs: C. Guo, Y. Lu, J. Xiong; Mea: J. Xiong","","",""
"CCD","C/2023 A3","2024-05-11 14:30","","C","","10.4","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-10 15:15","","C","","10.3","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2023-02-25 18:57","","C","","18.2","","AV","Y","20.3","5","1520","","","","9.0","","","","","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-01-22 22:55","","C","","13.3","","BG","L","20.3","4","300","","0.70'","","7.0","","1.20'","'","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O46)","Obs: C. Guo, Y. Lu, J. Xiong; Mea: J. Xiong, Zero Pt.27.70mag, mlim=18.8 (SNR=5)","","",""
"CCD","C/2023 A3","2024-05-04 21:27","","C","","10.2","","AR","A","5.0","4","120","","3.60'","","","","0.13°","°","98°","PAR03","Polish Comet Observers","Poland","Dabrowa, Poland","Temperature: +10 C","","",""
"CCD","C/2023 A3","2024-04-11 17:00","","C","","10.6","","BG","L","20.3","4","119","","","","6.5","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-04-09 19:45","","C","","10.7","","BG","L","20.3","4","120","","","","6.5","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2023-12-22 13:54","","C","","14.1","","GG","Y","61.0","7","1080","","","","","","","","","BUI01","Dutch Comet Section","Netherlands","Auberry, CA (U69)","","","",""
"CCD","C/2023 A3","2024-03-05 06:28","","C","","12.6","","AV","L","35.6","7","720","","0.80'","","","","1.50'","'","310°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-07-16 17:16","","C","","10.4","","AQ","R","10.6","5","120","","2.80'","","","","26.00'","'","100°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-02-26 03:35","","C","","18.1","","GG","Y","20.3","5","3600","","","","","","","","","BUI01","Dutch Comet Section","Netherlands","Dordrecht, NL (G06)","Atik 460EX","","",""
"CCD","C/2023 A3","2024-05-29 15:15","","C","","10.4","","BG","L","20.3","4","60","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-07-18 17:16","","C","","10.4","","AQ","R","10.6","5","120","","2.50'","","","","22.90'","'","101°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-03-30 14:24","","C","","11.6","","AQ","T","35.0","5","180","","1.30'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-06 23:11","","C","","10.9","","AV","R","7.5","4","1830","","2.20'","","","","","","","PAR03","Polish Comet Observers","Poland","","","","",""
"CCD","C/2023 A3","2024-04-30 19:55","","C","","10.3","","GG","L","41.0","4","360","","0.96'","","8.0","","6.00'","'","94°","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2024-05-16 12:00","","C","","11.4","","AQ","T","35.0","5","60","","1.30'","","","","5.80'","'","99°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-06-04 13:35","","C","","10.6","","BG","L","20.3","","","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-06-09 04:19","","C","","11.3","","AQ","L","25.0","3","120","","2.00'","","","","12.60'","'","100°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-05-28 00:14","","C","","10.8","","AR","L","30.0","4","1200","","3.70'","","","","12.70'","'","98°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-29 23:16","","C","","10.9","","AR","L","30.0","4","780","","3.70'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-06-02 22:04","","C","","10.7","","AR","L","30.0","4","3060","","3.70'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-06-07 21:36","","C","","10.7","","AR","L","30.0","4","1200","","3.70'","","","","14.40'","'","99°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-06-08 21:36","","C","","10.6","","AR","L","30.0","4","240","","3.70'","","","","14.00'","'","99°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-08 21:21","","C","","10.7","","AR","L","30.0","4","1200","","3.70'","","","","9.00'","'","98°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-05-09 21:36","","C","","10.7","","AR","L","30.0","4","1200","","3.70'","","","","7.50'","'","97°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-01-08 20:23","","C","","13.9","","AV","Y","20.3","5","1140","","0.50'","","","","0.40'","'","310°","YOS02","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2024-04-29 21:49","","C","","10.4","","AV","R","7.5","4","1200","","3.70'","","","","0.05°","°","94°","PAR03","Polish Comet Observers","Poland","","Green channel","","",""
"CCD","C/2023 A3","2024-05-25 20:52","","C","","11.6","","GG","L","41.0","4","60","","0.70'","","6.5","","7.80'","'","108°","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2024-06-22 21:50","","C","","10.3","","AR","L","30.0","4","1260","","3.70'","","","","18.10'","'","98°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-06-23 21:50","","C","","10.2","","AR","L","30.0","4","1260","","3.70'","","","","12.80'","'","99°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-06-24 21:50","","C","","10.0","","AR","L","30.0","4","1260","","4.00'","","","","15.10'","'","101°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-06-25 21:50","","C","","10.2","","AR","L","30.0","4","1260","","3.70'","","","","16.10'","'","98°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-04-11 13:26","","C","","11.0","","AQ","T","35.0","5","120","","1.60'","","","","2.30'","'","69°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-05-15 21:13","","C","","10.4","","AV","R","6.8","5","660","","2.80'","","","","0.09°","°","100°","PAR03","Polish Comet Observers","Poland","","Moonlight - Baader neodymium filter used; temperature: +11 C","","",""
"CCD","C/2023 A3","2024-04-30 02:10","","C","","10.1","","GG","A","4.2","135","840","","2.00'","","7.0","","3.00'","'","","BALaa","","Russian Federation","Nizhny Novgorod","","19.4","SQM-L",""
"CCD","C/2023 A3","2024-06-24 21:21","","C","","11.2","","AQ","L","20.0","4","560","","2.90'","","","","","","","LOS02","Society for Interplanetary Matter","Czech Republic","","","","",""
"CCD","C/2023 A3","2024-03-18 15:21","","C","","12.3","","AQ","T","35.0","5","180","","1.20'","","","","","","","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-05-01 21:21","","C","","10.8","","AR","L","30.0","4","1200","","3.70'","","","","4.90'","'","97°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-02-25 18:00","","C","","17.9","","GG","Y","51.0","4","2700","","","","","","","","","BUI01","Dutch Comet Section","Netherlands","Siding Spring, AU (Q62)","","","",""
"CCD","C/2023 A3","2024-05-12 14:00","","C","","10.5","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-04-28 22:50","","C","","10.8","","GG","Y","20.3","5","3600","","","","",">","5.00'","'","95°","BUI01","Dutch Comet Section","Netherlands","Dordrecht, NL (G06)","Atik 460EX","","",""
"VIS","C/2023 A3","2024-04-28 23:00","","C","","10.2","","TK","Y","30.4","5","109",">","1.00'","","6.5",">","2.50'","'","95°","BUI01","Dutch Comet Section","Netherlands","Dordrecht, NL (G06)","","5.2","NELM","TYC 4966-142-1 = 10.438; TYC 4959-944-1 = 10.226; TYC 4966-137-1 = 10.148"
"CCD","C/2023 A3","2024-03-07 16:33","","C","","12.8","","AQ","T","35.0","5","180","","1.40'","","","","1.10'","'","312°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-12-10 01:12","","C","","14.4","","GG","Y","36.0","8","45","","","","8.0","","","","","NOV01","","Russian Federation","","","","",""
"CCD","C/2023 A3","2024-03-16 22:05","","C","","11.9","","BG","L","20.3","4","120","","0.80'","","5.0","","","","","XIO","International Comet Quarterly","China","Xingyuan Observatory, Daocheng, China(remote)","Obs: C. Guo, Y. Lu, J. Xiong; Mea: J. Xiong, Zero Pt.25.83mag, mlim=18.2 (SNR=5)","","",""
"CCD","C/2023 A3","2024-01-09 05:16","","C","","13.7","","GG","Y","20.3","5","1800","","","","","","","","","BUI01","Dutch Comet Section","Netherlands","Dordrecht, NL (G06)","Atik 460EX","","",""
"CCD","C/2023 A3","2024-06-04 12:00","","C","","10.2","","TJ","H","13.0","3","80","","2.10'","","","","9.00'","'","101°","YAM03","","Japan","","","","",""
"CCD","C/2023 A3","2024-06-13 11:16","","C","","11.4","","AQ","T","35.0","5","30","","1.90'","","","","5.80'","'","101°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-12-27 02:49","","C","","14.0","","U4","L","20.0","3","60","","","","","","","","","PAP04","British Astronomical Association","Italy","Namibia (remote control)","","","",""
"CCD","C/2023 A3","2023-06-13 21:50","","C","","16.4","","AR","L","30.0","4","1800","","0.40'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-04-12 22:47","","C","","10.7","","AR","L","30.0","4","1200","","3.70'","","","","3.70'","'","75°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2024-06-08 00:28","","C","","11.4","","AQ","L","18.0","2","120","","1.60'","","","","14.90'","'","102°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2024-04-13 21:21","","C","","10.6","","AR","L","30.0","4","1200","","2.90'","","","","4.40'","'","74°","DEK01","International Comet Quarterly","Belgium","","","","",""
"CCD","C/2023 A3","2023-07-08 21:07","","C","","16.7","","GG","L","41.0","4","240","","0.19'","","8.0","","","","","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2023-07-12 02:05","","C","","16.4","","BG","H","30.5","4","2400","","0.40'","","","","","","","MAI01","ALPO Comet Section","United States","Comet Hunter Observatory 2","","","",""
"CCD","C/2023 A3","2023-04-01 15:45","","C","[","14.5",":","RG","R","11.0","4","30","&","0.32'","","","","","","","TIR01","International Comet Quarterly","Thailand","Astro820","","","",""
"CCD","C/2023 A3","2024-05-04 11:31","","C","","11.2","","AQ","T","35.0","5","60","","1.90'","","","","4.60'","'","94°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-03-18 17:31","","C","","18.1","","AV","Y","20.3","5","1520","","","","9.0","","","","","YOS02","International Comet Quarterly","Japan","","B-V of comp. stars were +0.60, +0.71 and +0.55.","","",""
"CCD","C/2023 A3","2023-02-27 22:47","","C","","17.9","","GG","Y","36.0","8","60","","","","9.0","","","","","NOV01","","Russian Federation","","","","",""
"CCD","C/2023 A3","2023-03-19 21:07","","C","","17.7","","GG","Y","36.0","8","60","","","","9.0","","","","","NOV01","","Russian Federation","","","","",""
"CCD","C/2023 A3","2023-03-26 01:12","","C","","17.5","","GG","L","35.0","8","120","","","","9.0","","","","","NOV01","","Russian Federation","","","","",""
"CCD","C/2023 A3","2024-05-04 21:38","","C","","10.4","","AV","A","5.0","4","840","","3.60'","","","","0.17°","°","97°","PAR03","Polish Comet Observers","Poland","Dabrowa, Poland","DSLR green; temperature: +10 C","","",""
"CCD","C/2023 A3","2024-05-09 16:30","","C","","10.2","","BG","L","20.3","4","120","","1.50'","","5.5","","6.00'","'","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2023-04-14 21:21","","C","","17.2","","AQ","Y","40.0","8","300","","0.80'","","","","","","","KII","URSA Astronomical Association","Finland","","","","",""
"CCD","C/2023 A3","2024-02-10 18:14","","C","","13.4","","HV","L","15.0","3","40","","0.90'","","","","","","","HAR10","International Comet Quarterly","Japan","","","","",""
"CCD","C/2023 A3","2023-04-20 01:26","","C","","16.8","","AR","L","30.0","4","1800","","0.60'","","","","","","","DEK01","International Comet Quarterly","Belgium","","","","",""
"VIS","C/2023 A3","2023-04-21 22:33","","C","","17.0","","GG","L","41.0","4","300","","0.24'","","8.5","","","","","SHU","British Astronomical Association","Belarus","","","","",""
"CCD","C/2023 A3","2024-05-24 14:40","","C","","10.4","","BG","L","20.3","120","","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-03-09 16:04","","C","","12.5","","AQ","T","35.0","5","180","","1.30'","","","","1.10'","'","307°","PEA","International Comet Quarterly","Australia","","","","",""
"CCD","C/2023 A3","2023-04-26 23:28","","C","","16.8","","GG","Y","20.3","5","1800","","","","","","","","","BUI01","Dutch Comet Section","Netherlands","Dordrecht, NL (G06)","Atik 460EX","","",""
"CCD","C/2023 A3","2023-05-07 13:10","","C","","16.7","","GG","L","20.0","4","1800","","","","","","","","","THA","","Thailand","Akin Observatory (MPC O51), Rayong, Thailand","","","",""
"CCD","C/2023 A3","2024-03-07 00:43","","C","","12.3","","AR","L","30.0","4","1800","","1.80'","","","","1.20'","'","305°","DEK01","International Comet Quarterly","Belgium","","","","",""
